"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Switzerland",1789,1448,1048,1392,2409,2947,2510,1924,1490,1450,1434,1224,926,717,503,355,201,93,39,3,0
"Albania",10,9,5,34,56,93,63,34,24,14,9,2,2,1,0,1,0,0,0,0,0
"Andorra",0,0,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Belgium",69,71,53,79,173,272,186,114,112,69,60,47,20,7,3,3,2,0,1,0,0
"Bulgaria",65,48,57,56,119,238,221,205,163,106,65,33,9,9,4,1,0,1,0,0,0
"Denmark",20,25,20,14,49,76,47,37,38,37,38,11,6,3,0,1,1,1,0,0,0
"Germany",835,607,492,729,2210,4613,3592,2456,1519,1245,1266,728,251,114,55,44,26,8,8,0,0
"Finland",34,20,18,19,39,94,57,70,50,21,26,16,6,1,1,1,0,0,0,0,0
"France",640,621,440,1174,2143,2990,2220,1401,888,725,472,276,98,59,35,32,16,7,7,3,0
"Greece",102,70,47,72,153,387,321,227,165,103,74,24,14,7,2,4,4,0,0,0,0
"United Kingdom",239,220,151,108,361,564,546,515,433,371,285,201,79,34,15,4,7,2,0,0,0
"Ireland",24,29,26,17,48,102,107,85,80,45,35,26,13,5,0,0,1,1,0,0,0
"Iceland",5,4,1,2,13,17,7,6,4,1,0,0,1,0,0,0,0,0,0,0,0
"Italy",786,764,681,798,2246,3047,2447,1737,1497,1252,875,449,164,80,56,55,46,27,7,2,0
"Liechtenstein",2,4,1,11,26,39,13,7,6,1,4,3,3,0,0,0,0,0,0,0,0
"Luxembourg",6,1,0,36,56,33,19,9,4,3,4,2,1,0,0,0,0,0,1,0,0
"Malta",3,1,1,2,6,6,7,7,5,4,0,1,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",71,67,74,48,186,246,197,158,104,112,96,59,23,15,7,3,1,0,1,1,0
"Norway",12,11,9,3,60,62,40,18,18,12,15,7,5,2,2,0,0,0,0,0,0
"Austria",127,107,68,131,438,630,369,316,187,173,159,91,33,9,3,4,1,2,1,1,0
"Poland",173,106,84,81,489,1124,926,668,508,335,209,144,58,20,2,1,2,1,0,0,0
"Portugal",416,357,336,407,1253,1509,1140,901,896,671,498,259,70,10,2,2,5,0,0,1,0
"Romania",101,98,74,77,315,543,500,303,219,151,80,31,18,11,2,8,1,0,1,0,0
"San Marino",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",48,39,37,54,127,174,127,96,74,68,43,28,9,2,2,1,1,0,1,1,0
"Spain",270,289,273,308,578,926,811,714,676,476,271,156,55,19,4,5,10,5,1,0,0
"Turkey",129,100,82,112,277,400,366,257,168,122,62,42,17,11,4,8,3,2,1,0,0
"Hungary",98,75,78,69,403,671,597,426,388,238,134,67,23,11,2,0,1,0,1,0,0
"Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",4,10,4,12,19,18,3,14,4,10,6,2,0,1,0,0,0,0,0,0,0
"Slovakia",64,47,34,40,338,537,443,288,220,150,112,71,25,5,2,0,0,0,0,0,0
"Czechia",37,20,23,26,144,272,168,120,91,59,36,21,5,6,1,0,2,0,0,0,0
"Serbia",49,39,59,71,223,299,198,129,132,86,41,23,10,6,3,1,0,0,0,0,0
"Croatia",30,27,28,28,108,187,148,116,64,59,47,21,10,5,3,1,0,0,0,0,0
"Slovenia",51,46,37,43,114,166,130,89,54,48,32,16,6,1,0,1,1,0,0,0,0
"Bosnia and Herzegovina",19,12,11,10,153,148,88,51,38,21,14,14,7,3,0,1,0,0,0,0,0
"Montenegro",3,3,2,5,16,14,16,6,5,1,2,1,0,0,0,0,0,0,0,0,0
"North Macedonia",121,107,110,114,410,384,192,128,95,72,41,20,3,7,0,3,0,0,0,0,0
"Kosovo",83,59,49,133,763,652,351,183,100,62,35,12,5,0,1,1,0,1,1,0,0
"Estonia",11,8,7,12,25,34,25,15,10,5,3,1,0,1,0,0,0,0,0,0,0
"Latvia",14,11,9,15,34,72,73,46,25,17,10,9,3,1,0,0,0,1,0,0,0
"Lithuania",19,17,13,16,33,103,85,59,35,24,21,19,5,3,3,0,0,0,0,0,0
"Moldova",8,7,6,7,7,17,5,13,10,6,4,1,0,0,0,0,0,0,0,0,0
"Russia",85,80,102,175,224,327,317,227,100,78,47,31,16,9,7,3,3,0,1,0,0
"Ukraine",25,32,34,53,114,130,135,69,44,38,18,7,4,2,1,0,0,0,0,0,0
"Belarus",5,8,4,7,17,35,17,25,10,2,5,7,1,0,0,0,0,0,0,0,0
"Equatorial Guinea",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",25,8,10,32,17,27,44,20,12,7,5,3,2,0,0,1,0,0,0,0,0
"Djibouti",1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",7,3,11,12,22,48,57,41,22,16,11,6,3,2,0,0,0,0,0,0,0
"Angola",8,5,3,6,4,3,10,6,4,3,4,0,2,1,1,0,0,0,0,0,0
"Botswana",1,1,1,2,2,1,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0
"Burundi",1,2,5,9,1,1,3,3,6,2,0,4,0,0,0,0,0,0,0,0,0
"Benin",0,3,2,3,2,3,2,7,3,1,0,1,0,0,0,0,0,0,0,0,0
"Côte d'Ivoire",8,6,13,22,7,17,12,23,9,8,3,2,2,0,0,0,0,0,0,0,0
"Gabon",0,1,1,1,2,3,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Gambia",3,6,4,9,9,7,10,11,1,1,1,2,2,0,0,0,0,0,0,0,0
"Ghana",1,3,1,6,11,24,25,16,9,5,5,5,2,0,0,0,0,0,0,0,0
"Guinea-Bissau",0,3,1,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Guinea",8,7,10,31,12,12,10,9,1,2,2,0,0,0,0,0,0,0,0,0,0
"Cameroon",9,15,11,18,20,36,52,21,23,14,7,5,4,2,0,0,0,0,0,0,0
"Cabo Verde",1,1,5,6,4,5,9,6,2,2,2,1,0,0,0,0,0,0,0,0,0
"Kenya",6,15,14,16,36,26,30,19,13,13,10,9,2,0,1,0,0,0,0,0,0
"Comoros",0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Congo (Brazzaville)",2,0,1,3,1,1,6,2,1,0,1,2,0,0,0,1,0,0,0,0,0
