name,migration
Switzerland,26054
Albania,159
Andorra,5
Belgium,1418
Bulgaria,1080
Denmark,552
Germany,26401
Finland,508
France,13637
Greece,1685
United Kingdom,4922
Ireland,587
Iceland,90
Italy,17662
Liechtenstein,125
Luxembourg,170
Malta,25
Monaco,6
Netherlands,1792
Norway,291
Austria,2907
Poland,3126
Portugal,20039
Romania,2627
San Marino,3
Sweden,1088
Spain,9104
Turkey,1845
Hungary,2466
Vatican City State,1
Cyprus,90
Slovakia,1481
Czech Rep.,733
Serbia,1646
Croatia,453
Slovenia,581
Bosnia and Herz.,669
Montenegro,100
Macedonia,1508
Kosovo,2677
Estonia,105
Latvia,258
Lithuania,248
Moldova,96
Russia,2432
Ukraine,811
Belarus,159
Eq. Guinea,13
Ethiopia,401
Djibouti,4
Algeria,337
Angola,112
Botswana,12
Burundi,23
Benin,67
Côte d'Ivoire,184
Gabon,27
Gambia,205
Ghana,147
Guinea-Bissau,173
Guinea,168
Cameroon,253
Cabo Verde,51
Kenya,192
Comoros,1
Congo,31
Dem. Rep. Congo,277
Lesotho,6
Liberia,22
Libya,120
Madagascar,94
Malawi,19
Mali,113
Morocco,621
Mauritania,30
Mauritius,89
Mozambique,10
Niger,23
Nigeria,417
Burkina Faso,47
Zimbabwe,66
Rwanda,47
Zambia,29
Sao Tom� and Principe,4
Senegal,197
Seychelles,3
Sierra Leone,25
Somalia,615
South Africa,263
Sudan,90
Namibia,6
Swaziland,11
Tanzania,59
Togo,115
Chad,21
Tunisia,594
Uganda,70
Egypt,433
Central African Rep.,5
Eritrea,3402
S. Sudan,7
W. Sahara,1
Argentina,252
Bahamas,6
Barbados,4
Bolivia,135
Brazil,1867
Chile,199
Costa Rica,53
Dominican Rep.,447
Ecuador,290
El Salvador,31
Guatemala,48
Guyana,5
Haiti,54
Belize,0
Honduras,49
Jamaica,37
Canada,1155
Colombia,511
Cuba,190
Mexico,562
Nicaragua,22
Panama,28
Paraguay,55
Peru,220
Suriname,0
Trinidad and Tobago,20
Uruguay,24
Venezuela,160
United States,3810
Dominica,8
Grenada,1
Antigua and Barbuda,1
Saint Lucia,4
Saint Vincent and the Grenadines,0
Saint Kitts and Nevis,5
Afghanistan,1234
Bahrain,15
Bhutan,14
Brunei,6
Myanmar,46
Sri Lanka,1026
Taiwan,293
China,3806
India,2266
Indonesia,353
Iraq,382
Iran,546
Israel,204
Japan,901
Yemen,37
Jordan,71
Cambodia,53
Qatar,20
Kuwait,34
Lao PDR,28
Lebanon,245
Malaysia,223
Maldives,5
Oman,24
Mongolia,98
Nepal,122
Dem. Rep. Korea,26
United Arab Emirates,33
Pakistan,377
Philippines,611
Saudi Arabia,163
Singapore,177
Korea,622
Syria,984
Thailand,909
Vietnam,409
Bangladesh,147
Timor-Leste,4
Palestine,23
Armenia,111
Azerbaijan,143
Georgia,117
Kazakhstan,210
Kyrgyzstan,37
Tajikistan,27
Turkmenistan,6
Uzbekistan,78
Australia,606
Fiji,8
Nauru,1
Vanuatu,0
New Zealand,151
Papua New Guinea,1
Tonga,1
Samoa,6
Solomon Islands,1
Tuvalu,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Palau,0
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0
