"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Switzerland",2114,1606,1200,1499,2567,2762,2444,1994,1839,1812,1679,1329,1083,844,634,373,225,122,46,4,1
"Albania",8,1,2,14,41,38,38,20,12,5,7,1,1,2,0,0,0,0,0,0,0
"Andorra",0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",73,57,44,80,196,219,189,121,105,91,66,26,39,23,16,9,9,4,0,0,0
"Bulgaria",22,33,45,45,115,214,170,138,109,70,31,15,10,5,0,3,2,0,0,0,0
"Denmark",24,44,30,13,36,92,49,66,55,39,37,13,10,4,8,3,0,0,0,0,0
"Germany",895,706,486,745,2842,5774,4333,2482,1858,1887,1425,685,275,133,98,55,28,7,5,1,0
"Finland",39,28,15,20,66,104,86,67,42,32,13,8,1,2,2,0,0,0,0,0,0
"France",670,559,370,934,2096,3082,2271,1416,1067,736,491,345,179,133,82,44,25,17,8,0,0
"Greece",57,74,40,55,151,317,244,200,114,94,60,26,12,7,2,3,6,1,1,0,0
"United Kingdom",285,281,181,161,412,569,634,589,508,411,303,171,66,44,17,9,9,3,2,0,0
"Ireland",41,26,21,15,34,90,93,72,60,53,37,15,7,2,1,1,0,0,0,0,0
"Iceland",4,6,8,4,12,12,9,8,3,2,6,1,0,0,0,0,0,0,0,0,0
"Italy",847,791,654,776,2274,3043,2477,2089,2109,1556,1031,558,274,181,142,94,66,30,10,4,0
"Liechtenstein",1,2,0,4,17,22,18,12,3,2,2,2,0,0,0,0,1,0,0,0,0
"Luxembourg",2,1,2,33,77,36,7,8,4,5,4,3,2,1,0,0,0,0,0,0,0
"Malta",0,0,0,0,3,8,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",103,96,58,47,198,259,226,169,178,153,101,71,28,26,7,8,3,2,1,0,0
"Norway",11,12,10,8,39,51,36,13,18,13,11,9,4,1,1,0,0,2,0,0,0
"Austria",120,103,80,147,486,631,464,292,251,236,152,73,25,18,12,1,1,1,0,0,0
"Poland",219,163,95,83,501,1144,1045,652,471,269,223,112,49,10,1,4,0,1,0,0,0
"Portugal",728,802,805,756,2029,2423,2055,1692,1466,1234,785,329,83,13,9,5,3,4,0,0,0
"Romania",61,59,58,111,482,794,491,259,130,96,32,22,11,7,1,3,0,1,0,0,0
"San Marino",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",50,47,33,35,164,213,114,61,71,48,28,23,14,8,7,1,0,0,0,1,0
"Spain",370,398,310,303,689,1306,1265,1164,909,646,397,190,59,19,14,6,6,5,2,0,0
"Turkey",70,51,55,109,254,326,296,189,127,77,40,20,6,8,13,1,1,0,0,0,0
"Hungary",151,142,87,73,421,854,825,705,447,271,142,62,29,2,5,2,1,0,0,0,0
"Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",8,2,3,4,12,18,11,5,5,5,3,2,0,0,0,2,1,0,0,0,0
"Slovakia",78,63,26,35,424,705,541,339,212,135,102,43,19,2,1,2,0,0,0,0,0
"Czechia",43,32,28,24,170,302,237,213,114,61,34,12,5,3,1,0,0,0,0,0,0
"Serbia",65,38,41,65,313,340,214,142,94,69,40,18,16,7,1,2,1,1,0,0,0
"Croatia",17,14,6,13,81,106,88,56,50,19,20,18,14,2,2,1,0,0,0,0,0
"Slovenia",67,69,49,52,141,215,199,154,98,76,36,14,6,2,0,2,0,0,0,0,0
"Bosnia and Herzegovina",23,8,11,37,154,184,84,56,37,22,17,8,5,4,1,0,0,0,0,0,0
"Montenegro",2,1,0,5,16,17,9,5,3,0,2,1,0,0,1,0,0,0,0,0,0
"North Macedonia",65,59,56,81,459,305,150,75,56,61,22,17,8,3,2,4,3,1,0,0,0
"Kosovo",74,69,68,172,850,562,285,156,81,41,19,15,9,7,9,1,2,1,1,0,0
"Estonia",12,4,11,6,20,49,24,26,16,6,7,2,1,2,0,0,0,0,0,0,0
"Latvia",12,17,8,16,40,81,67,31,22,9,7,9,1,2,1,0,1,0,0,0,0
"Lithuania",8,7,6,11,35,92,64,38,22,8,16,12,3,1,0,0,0,0,0,0,0
"Moldova",3,3,2,5,11,13,13,10,3,2,0,0,0,0,0,0,0,0,0,0,0
"Russia",108,110,174,261,305,350,294,189,134,79,55,45,37,16,9,7,5,1,0,0,0
"Ukraine",22,31,45,84,139,170,173,98,51,30,17,9,10,4,6,1,0,1,0,0,0
"Belarus",5,6,5,13,15,37,27,14,10,8,0,2,2,1,1,0,0,0,0,0,0
"Equatorial Guinea",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",30,6,10,20,29,43,44,21,10,14,2,0,1,0,0,0,0,0,0,0,0
"Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",7,8,8,8,16,54,44,35,22,13,9,3,5,2,2,0,0,0,0,0,0
