"Year","Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"2019","Switzerland",1737,1440,1113,1330,2452,3100,2446,1923,1474,1396,1390,1257,954,746,512,335,204,93,49,13,1
"2019","Albania",4,9,12,25,52,81,65,40,15,17,6,4,1,2,0,0,0,0,0,0,0
"2019","Andorra",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Belgium",53,55,44,68,195,291,193,114,106,89,67,35,20,9,6,2,0,2,1,0,0
"2019","Bulgaria",89,62,60,78,205,394,383,331,292,197,105,52,24,3,0,1,0,1,0,0,0
"2019","Denmark",18,15,33,14,49,72,43,24,31,38,29,5,9,2,5,0,0,0,0,0,0
"2019","Germany",801,604,513,789,2341,4316,3557,2368,1510,1254,1162,735,276,99,49,40,33,9,7,1,0
"2019","Finland",21,26,19,14,42,78,63,50,40,23,24,14,12,3,0,2,0,0,0,0,0
"2019","France",656,566,435,1023,2142,3074,2226,1472,1036,766,459,247,124,46,39,22,15,8,2,2,0
"2019","Greece",78,63,73,58,166,421,349,232,174,108,64,37,23,2,0,1,3,0,0,0,0
"2019","United Kingdom",268,243,164,114,367,567,614,533,441,375,300,186,78,45,21,9,2,2,1,0,1
"2019","Ireland",38,21,9,15,43,109,102,87,56,62,50,21,12,5,1,2,0,0,0,0,0
"2019","Iceland",5,3,2,1,28,15,6,9,2,1,3,1,1,2,0,0,0,0,0,0,0
"2019","Italy",781,735,661,697,2120,3026,2314,1674,1421,1169,838,474,170,69,49,39,36,17,4,3,0
"2019","Liechtenstein",2,2,2,5,27,37,15,7,7,0,5,0,0,0,0,0,0,0,0,0,0
"2019","Luxembourg",1,1,1,31,51,46,17,9,4,3,2,2,3,3,0,0,0,1,0,0,0
"2019","Malta",3,4,10,3,3,5,3,0,3,3,6,3,0,1,1,0,0,0,0,0,0
"2019","Monaco",0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Netherlands",77,85,78,61,152,245,197,159,125,113,99,75,31,7,7,3,2,1,0,1,0
"2019","Norway",16,11,4,7,59,57,19,17,20,13,4,4,4,2,0,1,0,0,0,0,0
"2019","Austria",110,83,62,150,496,712,433,273,204,150,147,77,30,3,2,4,2,2,1,0,0
"2019","Poland",174,105,89,79,506,1062,930,685,475,370,212,128,84,23,3,0,1,0,1,1,0
"2019","Portugal",419,342,362,298,1209,1500,1166,880,774,681,445,246,85,21,5,4,4,2,0,0,0
"2019","Romania",188,164,109,123,564,917,1048,619,387,248,142,61,34,14,5,2,1,0,0,0,0
"2019","San Marino",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Sweden",53,45,43,51,128,209,123,81,87,53,54,32,7,1,2,2,1,0,0,0,0
"2019","Spain",251,239,224,259,533,943,759,642,633,447,292,171,38,20,16,8,7,5,0,0,0
"2019","Turkey",140,137,101,100,233,433,409,335,211,137,60,35,19,13,4,3,1,0,0,0,0
"2019","Hungary",105,76,70,77,385,653,584,387,348,212,132,46,22,9,2,2,1,1,0,0,0
"2019","Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Cyprus",3,5,5,17,15,16,7,10,4,7,2,2,2,0,3,0,0,0,0,0,0
"2019","Slovakia",70,43,24,28,287,504,396,301,208,157,96,72,24,6,1,1,1,0,0,0,0
"2019","Czechia",44,28,14,28,142,258,197,113,102,54,49,16,8,3,2,0,0,0,0,0,0
"2019","Serbia",48,43,49,59,207,282,185,119,112,76,43,28,15,9,6,1,0,0,0,0,0
"2019","Croatia",34,27,26,21,97,158,145,94,72,45,43,23,19,4,4,0,0,1,0,0,0
"2019","Slovenia",40,40,23,43,122,149,129,92,63,46,27,18,4,2,0,0,1,1,0,0,0
"2019","Bosnia and Herzegovina",18,15,14,16,107,141,87,36,29,20,18,9,1,3,1,1,0,0,0,0,0
"2019","Montenegro",3,1,1,3,14,21,14,8,4,1,4,1,1,0,2,0,0,0,0,0,0
"2019","North Macedonia",126,128,109,117,368,359,206,156,109,74,40,24,8,4,2,1,0,1,0,0,0
"2019","Kosovo",56,49,51,136,581,567,269,196,112,63,38,17,5,4,4,1,0,0,0,0,0
"2019","Estonia",3,5,5,7,15,27,31,15,7,4,8,1,1,1,0,0,0,0,0,0,0
"2019","Latvia",18,16,11,19,31,64,52,29,43,17,7,8,2,2,3,0,0,0,0,0,0
"2019","Lithuania",25,9,13,8,32,105,71,58,30,26,24,21,9,1,0,0,0,0,0,0,0
"2019","Moldova",5,8,3,0,12,16,9,15,2,4,0,0,2,0,0,0,0,0,0,0,0
"2019","Russia",87,83,90,182,243,306,363,244,105,101,49,37,19,7,7,3,2,1,0,0,0
"2019","Ukraine",31,36,37,66,97,131,150,87,57,19,17,12,3,3,2,0,0,0,0,0,0
"2019","Belarus",1,5,1,5,17,21,20,13,11,8,1,1,1,0,0,0,1,0,0,0,0
"2019","Equatorial Guinea",0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2019","Ethiopia",15,17,11,12,13,22,25,20,15,4,4,3,5,0,0,0,0,0,0,0,0
"2019","Djibouti",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Algeria",12,14,12,13,19,62,55,46,28,20,9,5,5,0,2,1,0,0,0,0,0
"2019","Angola",8,6,10,13,7,9,6,2,8,0,2,3,0,2,1,0,0,0,0,0,0
"2019","Botswana",1,0,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Burundi",2,8,2,1,5,2,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0
"2019","Benin",0,0,1,0,2,3,3,8,1,3,1,1,0,1,0,0,0,0,0,0,0
"2019","Côte d'Ivoire",6,3,4,8,10,17,19,18,9,2,1,2,1,0,0,0,0,0,0,0,0
"2019","Gabon",1,0,0,1,2,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"2019","Gambia",1,1,0,3,4,10,7,10,4,5,1,0,0,0,0,0,0,0,0,0,0
"2019","Ghana",3,5,2,5,9,17,16,13,5,3,3,1,3,0,0,0,0,0,0,0,0
"2019","Guinea-Bissau",1,2,0,0,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"2019","Guinea",7,5,3,8,6,7,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0
"2019","Cameroon",16,17,15,9,16,35,36,24,16,12,1,9,4,1,0,0,0,0,0,0,0
"2019","Cabo Verde",2,1,3,2,6,7,8,5,2,1,1,0,0,0,0,0,0,0,0,0,0
"2019","Kenya",10,17,10,13,36,35,31,25,19,14,5,0,0,1,1,0,0,0,0,0,0
"2019","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Congo (Brazzaville)",1,0,1,4,4,3,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"2019","Congo (Kinshasa)",15,5,7,15,12,22,20,10,14,10,5,2,0,0,0,0,0,0,0,0,0
"2019","Lesotho",2,2,3,1,1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Liberia",0,0,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Libya",3,3,4,8,5,16,8,8,2,4,5,5,1,0,0,0,0,0,0,0,0
"2019","Madagascar",2,4,2,7,7,18,13,11,3,4,2,0,1,0,0,0,0,0,0,0,0
"2019","Malawi",0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Mali",2,2,4,4,2,3,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0
"2019","Morocco",18,16,7,72,76,137,108,73,36,26,14,5,2,2,1,1,0,0,0,0,0
"2019","Mauritania",1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"2019","Mauritius",1,1,2,5,11,12,9,6,7,3,2,0,1,0,0,0,0,0,0,0,0
"2019","Mozambique",1,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0
"2019","Niger",0,3,1,3,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"2019","Nigeria",35,25,11,13,25,40,51,48,21,6,6,3,1,0,1,0,0,0,0,0,0
"2019","Burkina Faso",1,3,3,1,3,6,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0
"2019","Zimbabwe",3,3,2,5,10,10,7,8,8,2,1,1,0,0,0,0,0,0,0,0,0
"2019","Rwanda",1,3,4,0,1,6,4,7,1,4,1,0,0,0,0,0,0,0,0,0,0
"2019","Zambia",0,2,0,1,3,2,3,4,1,0,1,1,1,0,0,0,0,0,0,0,0
"2019","Sao Tomé and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
